id,invoice_id,supplier_id,supplier_name,category,amount,currency,po_number,date,amount_variance,duplicate_score,supplier_risk,po_match_confidence,tax_regulatory_compliance,commodity_volatility,historical_pattern,environmental_risk,events,commodity,provenance
INV-2026-00016,INV-2026-00016,SUP-002,Pacifica Logistics,logistics,6598.74,USD,PO-2026-010016,2026-01-20,0.3192,0.2354,0.4422,0.9154,0.8678,0.5412,0.7353,0.5951,[],pallets,synthetic_demo
INV-2026-00017,INV-2026-00017,SUP-001,Aster Industrial Chemicals,direct_materials,30193.68,USD,PO-2026-010017,2026-01-21,0.3979,0.1566,0.5281,0.9324,0.9623,0.4306,0.7315,0.4076,[],industrial chemicals,synthetic_demo
INV-2026-00018,INV-2026-00018,SUP-006,Meridian Office Services,indirect,1781.04,USD,PO-2026-010018,2026-01-22,0.3271,0.1326,0.3451,0.8952,0.8927,0.5575,0.8607,0.3458,[],utilities,synthetic_demo
INV-2026-00019,INV-2026-00019,SUP-005,Yangtze Raw Materials,direct_materials,32417.11,USD,PO-2026-010019,2026-01-23,0.2027,0.2657,0.6651,0.8771,0.8622,0.5514,0.7563,0.4687,"[{""type"":""supplier_distress"",""severity"":""medium"",""description"":""Supplier financial or delivery health deteriorated.""}]",industrial chemicals,synthetic_demo
INV-2026-00020,INV-2026-00020,SUP-009,Rhine-Stahl Metals,mro,48380.11,USD,PO-2026-010020,2026-01-24,0.3376,0.1564,0.5294,0.8698,0.8412,0.4521,0.6063,0.287,[],replacement parts,synthetic_demo
INV-2026-00021,INV-2026-00021,SUP-003,Northstar Packaging,indirect,3827.7,USD,PO-2026-010021,2026-01-25,0.0619,0.2527,0.2799,0.904,0.9382,0.4504,0.8218,0.2163,[],packaging,synthetic_demo
INV-2026-00022,INV-2026-00022,SUP-007,Boreal Equipment Maintenance,mro,22892.87,USD,PO-2026-010022,2026-01-26,0.2405,0.4569,0.4425,0.83,0.8881,0.4984,0.6702,0.3407,[],lab consumables,synthetic_demo
INV-2026-00023,INV-2026-00023,SUP-005,Yangtze Raw Materials,direct_materials,70014.14,USD,PO-2026-010023,2026-01-27,0.1747,0.1077,0.6584,0.9193,0.8858,0.5316,0.7564,0.4243,"[{""type"":""supplier_distress"",""severity"":""medium"",""description"":""Supplier financial or delivery health deteriorated.""}]",resin,synthetic_demo
INV-2026-00024,INV-2026-00024,SUP-010,Helix Lab Supplies,indirect,3016.08,USD,PO-2026-010024,2026-01-28,0.077,0.3265,0.4178,0.9191,0.9119,0.6838,0.8945,0.2379,[],safety consumables,synthetic_demo
INV-2026-00025,INV-2026-00025,SUP-002,Pacifica Logistics,logistics,10316.83,USD,PO-2026-010025,2026-01-29,0.2781,0.1547,0.3527,0.8802,0.892,0.3657,0.7294,0.3064,[],pallets,synthetic_demo
INV-2026-00026,INV-2026-00026,SUP-003,Northstar Packaging,direct_materials,4057.32,USD,PO-2026-010026,2026-01-30,0.1286,0.353,0.5105,0.9412,0.8946,0.6538,0.7512,0.6622,[],steel coil,synthetic_demo
INV-2026-00027,INV-2026-00027,SUP-002,Pacifica Logistics,logistics,8682.33,USD,PO-2026-010027,2026-01-31,0.1878,0.1164,0.4843,0.9362,0.8449,0.5965,0.782,0.2815,[],truckload freight,synthetic_demo
INV-2026-00028,INV-2026-00028,SUP-010,Helix Lab Supplies,indirect,7263.07,USD,PO-2026-010028,2026-02-01,0.1877,0.0885,0.2501,0.8568,0.8788,0.3483,0.7824,0.1844,[],packaging,synthetic_demo
INV-2026-00029,INV-2026-00029,SUP-001,Aster Industrial Chemicals,direct_materials,17302.29,USD,PO-2026-010029,2026-02-02,0.1622,0.0585,0.6435,0.7682,0.8742,0.6027,0.8738,0.6265,"[{""type"":""supplier_distress"",""severity"":""medium"",""description"":""Supplier financial or delivery health deteriorated.""}]",steel coil,synthetic_demo
INV-2026-00030,INV-2026-00030,SUP-003,Northstar Packaging,direct_materials,4642.21,USD,PO-2026-010030,2026-02-03,0.3236,0.1162,0.3053,0.8357,0.9159,0.3907,0.7129,0.6185,[],industrial chemicals,synthetic_demo
INV-2026-00031,INV-2026-00031,SUP-005,Yangtze Raw Materials,direct_materials,40843.58,USD,PO-2026-010031,2026-02-04,0.3921,0.0552,0.6143,0.9127,0.9664,0.3129,0.8437,0.3462,[],resin,synthetic_demo
INV-2026-00032,INV-2026-00032,SUP-002,Pacifica Logistics,logistics,10900.79,USD,PO-2026-010032,2026-02-05,0.3008,0.1284,0.3945,0.8932,0.8978,0.3712,0.7067,0.26,[],fuel surcharge,synthetic_demo
INV-2026-00033,INV-2026-00033,SUP-003,Northstar Packaging,indirect,6409.46,USD,PO-2026-010033,2026-02-06,0.3434,0.1125,0.2683,0.9014,0.8947,0.4548,0.6312,0.2649,[],office supplies,synthetic_demo
INV-2026-00034,INV-2026-00034,SUP-003,Northstar Packaging,direct_materials,2806.51,USD,PO-2026-010034,2026-02-07,0.2679,0.2122,0.2218,0.8024,0.8868,0.8226,0.837,0.3321,"[{""type"":""commodity_spike"",""severity"":""high"",""description"":""Relevant commodity index moved sharply above its normal band.""}]",aluminum billet,synthetic_demo
INV-2026-00035,INV-2026-00035,SUP-006,Meridian Office Services,services,2419.55,USD,PO-2026-010035,2026-02-08,0.0919,0.2155,0.1097,0.8219,0.8259,0.5952,0.7566,0.3279,[],cloud capacity,synthetic_demo
INV-2026-00036,INV-2026-00036,SUP-010,Helix Lab Supplies,indirect,9477.08,USD,PO-2026-010036,2026-02-09,0.139,0.3038,0.2387,0.8757,0.8901,0.3402,0.6345,0.3637,[],utilities,synthetic_demo
INV-2026-00037,INV-2026-00037,SUP-001,Aster Industrial Chemicals,direct_materials,40924.56,USD,PO-2026-010037,2026-02-10,0.3052,0.3013,0.5956,0.824,0.8597,0.3621,0.6905,0.2266,[],steel coil,synthetic_demo
INV-2026-00038,INV-2026-00038,SUP-003,Northstar Packaging,direct_materials,6687.28,USD,PO-2026-010038,2026-02-11,0.2019,0.114,0.2626,0.8831,0.9446,0.6338,0.5212,0.2688,[],industrial chemicals,synthetic_demo
INV-2026-00039,INV-2026-00039,SUP-005,Yangtze Raw Materials,direct_materials,18460.41,USD,PO-2026-010039,2026-02-12,0.2612,0.2103,0.5987,0.8722,0.8831,0.5643,0.8884,0.3531,[],industrial chemicals,synthetic_demo
INV-2026-00040,INV-2026-00040,SUP-009,Rhine-Stahl Metals,direct_materials,93821.14,USD,PO-2026-010040,2026-02-13,0.1845,0.0817,0.4601,0.8428,0.8196,0.4672,0.6878,0.4338,[],aluminum billet,synthetic_demo
INV-2026-00041,INV-2026-00041,SUP-003,Northstar Packaging,indirect,4370.1,USD,PO-2026-010041,2026-02-14,0.1989,0.1619,0.3635,0.8166,0.9159,0.3018,0.6759,0.4522,[],packaging,synthetic_demo
INV-2026-00042,INV-2026-00042,SUP-006,Meridian Office Services,indirect,1847.19,USD,PO-2026-010042,2026-02-15,0.1048,0.2003,0.1578,0.862,0.9325,0.353,0.6321,0.3649,[],safety consumables,synthetic_demo
INV-2026-00043,INV-2026-00043,SUP-002,Pacifica Logistics,logistics,8916.35,USD,PO-2026-010043,2026-02-16,0.1331,0.257,0.3571,0.9393,0.8304,0.4373,0.8644,0.4568,[],pallets,synthetic_demo
INV-2026-00044,INV-2026-00044,SUP-006,Meridian Office Services,services,3663.47,USD,PO-2026-010044,2026-02-17,0.3359,0.1455,0.2335,0.8782,0.948,0.4498,0.7914,0.5364,[],facilities services,synthetic_demo
INV-2026-00045,INV-2026-00045,SUP-001,Aster Industrial Chemicals,direct_materials,17968.86,USD,PO-2026-010045,2026-02-18,0.448,0.1062,0.5836,0.7772,0.8433,0.4634,0.8137,0.3497,[],resin,synthetic_demo
INV-2026-00046,INV-2026-00046,SUP-003,Northstar Packaging,direct_materials,3088.73,USD,PO-2026-010046,2026-02-19,0.3207,0.1692,0.3561,0.8471,0.9315,0.7224,0.8608,0.5962,[],steel coil,synthetic_demo
INV-2026-00047,INV-2026-00047,SUP-005,Yangtze Raw Materials,direct_materials,18500.11,USD,PO-2026-010047,2026-02-20,0.3401,0.3318,0.6653,0.9092,0.9322,0.4126,0.8304,0.1866,"[{""type"":""supplier_distress"",""severity"":""medium"",""description"":""Supplier financial or delivery health deteriorated.""}]",aluminum billet,synthetic_demo
INV-2026-00048,INV-2026-00048,SUP-002,Pacifica Logistics,logistics,7104.67,USD,PO-2026-010048,2026-02-21,0.3941,0.173,0.4823,0.8875,0.8374,0.3396,0.8547,0.3621,[],fuel surcharge,synthetic_demo
INV-2026-00049,INV-2026-00049,SUP-003,Northstar Packaging,indirect,6351.81,USD,PO-2026-010049,2026-02-22,0.1004,0.1217,0.4388,0.9056,0.9508,0.5153,0.8605,0.1952,[],utilities,synthetic_demo
INV-2026-00050,INV-2026-00050,SUP-003,Northstar Packaging,direct_materials,3199.16,USD,PO-2026-010050,2026-02-23,0.1053,0.2269,0.3417,0.8811,0.9237,0.3249,0.6581,0.33,[],industrial chemicals,synthetic_demo
INV-2026-00051,INV-2026-00051,SUP-005,Yangtze Raw Materials,direct_materials,24205.04,USD,PO-2026-010051,2026-02-24,0.1442,0.508,0.6748,0.8345,0.8922,0.438,0.7322,0.3332,"[{""type"":""supplier_distress"",""severity"":""medium"",""description"":""Supplier financial or delivery health deteriorated.""}]",resin,synthetic_demo
INV-2026-00052,INV-2026-00052,SUP-004,Novatek IT Services,services,19127.35,USD,PO-2026-010052,2026-02-25,0.2089,0.3198,0.3582,0.7238,0.9186,0.4495,0.8165,0.3722,[],consulting hours,synthetic_demo
INV-2026-00053,INV-2026-00053,SUP-001,Aster Industrial Chemicals,direct_materials,17861.36,USD,PO-2026-010053,2026-02-26,0.3558,0.1477,0.5767,0.9038,0.9135,0.5186,0.6564,0.2532,[],aluminum billet,synthetic_demo
INV-2026-00054,INV-2026-00054,SUP-003,Northstar Packaging,direct_materials,2533.7,USD,PO-2026-010054,2026-02-27,0.1109,0.1998,0.3357,0.7983,0.8919,0.7237,0.7932,0.5782,[],aluminum billet,synthetic_demo
INV-2026-00055,INV-2026-00055,SUP-008,Gridline Utilities,indirect,16151.89,USD,PO-2026-010055,2026-02-28,0.2228,0.3553,0.2951,0.8227,0.8878,0.644,0.7435,0.5145,[],packaging,synthetic_demo
INV-2026-00056,INV-2026-00056,SUP-009,Rhine-Stahl Metals,direct_materials,24253.37,USD,PO-2026-010056,2026-03-01,0.206,0.2299,0.4876,0.8347,0.9326,0.5371,0.8266,0.3442,[],steel coil,synthetic_demo
INV-2026-00057,INV-2026-00057,SUP-001,Aster Industrial Chemicals,direct_materials,20629.14,USD,PO-2026-010057,2026-03-02,0.2797,0.1219,0.5626,0.8971,0.8326,0.62,0.8543,0.37,[],resin,synthetic_demo
INV-2026-00058,INV-2026-00058,SUP-007,Boreal Equipment Maintenance,mro,14908.08,USD,PO-2026-010058,2026-03-03,0.3037,0.1038,0.3793,0.8961,0.9302,0.5435,0.8909,0.3341,[],bearings,synthetic_demo
INV-2026-00059,INV-2026-00059,SUP-008,Gridline Utilities,indirect,17583.29,USD,PO-2026-010059,2026-03-04,0.2733,0.2363,0.252,0.9051,0.9175,0.5021,0.8185,0.2664,[],safety consumables,synthetic_demo
INV-2026-00060,INV-2026-00060,SUP-009,Rhine-Stahl Metals,direct_materials,32593.68,USD,PO-2026-010060,2026-03-05,0.2855,0.1613,0.4023,0.9004,0.9129,0.5829,0.5915,0.573,[],steel coil,synthetic_demo
INV-2026-00061,INV-2026-00061,SUP-001,Aster Industrial Chemicals,direct_materials,11724.9,USD,PO-2026-010061,2026-03-06,0.2644,0.1036,0.4894,0.835,0.9435,0.4748,0.5129,0.2071,[],aluminum billet,synthetic_demo
INV-2026-00062,INV-2026-00062,SUP-009,Rhine-Stahl Metals,mro,45407.9,USD,PO-2026-010062,2026-03-07,0.1031,0.1134,0.4799,0.8241,0.8783,0.3987,0.8775,0.3868,[],bearings,synthetic_demo
INV-2026-00063,INV-2026-00063,SUP-010,Helix Lab Supplies,mro,8416.35,USD,PO-2026-010063,2026-03-08,0.221,0.0941,0.3492,0.9179,0.8764,0.364,0.7416,0.2326,[],lab consumables,synthetic_demo
INV-2026-00064,INV-2026-00064,SUP-004,Novatek IT Services,services,20084.54,USD,PO-2026-010064,2026-03-09,0.3931,0.1371,0.3043,0.8002,0.8067,0.3469,0.6802,0.2943,[],facilities services,synthetic_demo
INV-2026-00065,INV-2026-00065,SUP-002,Pacifica Logistics,logistics,6125.02,USD,PO-2026-010065,2026-03-10,0.2481,0.1137,0.485,0.9159,0.9308,0.3057,0.626,0.5932,[],ocean freight,synthetic_demo
INV-2026-00066,INV-2026-00066,SUP-003,Northstar Packaging,direct_materials,3519.33,USD,PO-2026-010066,2026-03-11,0.0949,0.3721,0.2566,0.8888,0.9238,0.5482,0.8095,0.507,[],steel coil,synthetic_demo
INV-2026-00067,INV-2026-00067,SUP-004,Novatek IT Services,services,22497.3,USD,PO-2026-010067,2026-03-12,0.216,0.1257,0.1807,0.8337,0.9291,0.5265,0.8287,0.2888,[],cloud capacity,synthetic_demo
INV-2026-00068,INV-2026-00068,SUP-002,Pacifica Logistics,logistics,9788.69,USD,PO-2026-010068,2026-03-13,0.2207,0.17,0.4142,0.7579,0.9224,0.5063,0.8098,0.4141,[],truckload freight,synthetic_demo
INV-2026-00069,INV-2026-00069,SUP-001,Aster Industrial Chemicals,direct_materials,8911.29,USD,PO-2026-010069,2026-03-14,0.1617,0.0569,0.5489,0.9193,0.8503,0.494,0.7833,0.4939,[],resin,synthetic_demo
INV-2026-00070,INV-2026-00070,SUP-006,Meridian Office Services,indirect,3303.76,USD,PO-2026-010070,2026-03-15,0.4128,0.0999,0.3606,0.7598,0.888,0.4597,0.8778,0.4178,[],utilities,synthetic_demo
INV-2026-00071,INV-2026-00071,SUP-008,Gridline Utilities,indirect,32768.9,USD,PO-2026-010071,2026-03-16,0.3508,0.1,0.3165,0.8851,0.9469,0.4175,0.8394,0.2022,[],packaging,synthetic_demo
INV-2026-00072,INV-2026-00072,SUP-010,Helix Lab Supplies,indirect,8722.74,USD,PO-2026-010072,2026-03-17,0.1626,0.2571,0.2223,0.7929,0.8606,0.5288,0.7922,0.3633,[],utilities,synthetic_demo
INV-2026-00073,INV-2026-00073,SUP-007,Boreal Equipment Maintenance,mro,30408.27,USD,PO-2026-010073,2026-03-18,0.2192,0.1972,0.2965,0.8489,0.8598,0.6169,0.7543,0.4763,[],maintenance kits,synthetic_demo
INV-2026-00074,INV-2026-00074,SUP-003,Northstar Packaging,direct_materials,6643.02,USD,PO-2026-010074,2026-03-19,0.2616,0.265,0.2865,0.751,0.9129,0.6531,0.7579,0.3248,[],industrial chemicals,synthetic_demo
INV-2026-00075,INV-2026-00075,SUP-005,Yangtze Raw Materials,direct_materials,42400.68,USD,PO-2026-010075,2026-03-20,0.305,0.26,0.4447,0.8991,0.9374,0.6133,0.766,0.3769,[],aluminum billet,synthetic_demo
INV-2026-00076,INV-2026-00076,SUP-002,Pacifica Logistics,logistics,5576.16,USD,PO-2026-010076,2026-03-21,0.1516,0.2237,0.4402,0.843,0.8591,0.6195,0.8002,0.4598,[],truckload freight,synthetic_demo
INV-2026-00077,INV-2026-00077,SUP-002,Pacifica Logistics,logistics,10985.03,USD,PO-2026-010077,2026-03-22,0.4098,0.2108,0.4275,0.7834,0.9024,0.3408,0.7381,0.4976,[],ocean freight,synthetic_demo
INV-2026-00078,INV-2026-00078,SUP-010,Helix Lab Supplies,mro,3872.92,USD,PO-2026-010078,2026-03-23,0.4863,0.145,0.4479,0.7711,0.9037,0.4554,0.7426,0.4923,[],lab consumables,synthetic_demo
INV-2026-00079,INV-2026-00079,SUP-004,Novatek IT Services,services,50221.32,USD,PO-2026-010079,2026-03-24,0.329,0.1285,0.2055,0.8574,0.8701,0.1964,0.6642,0.3446,[],facilities services,synthetic_demo
INV-2026-00080,INV-2026-00080,SUP-009,Rhine-Stahl Metals,direct_materials,21561.06,USD,PO-2026-010080,2026-03-25,0.16,0.1719,0.6381,0.886,0.9334,0.3962,0.6739,0.4267,[],resin,synthetic_demo
INV-2026-00081,INV-2026-00081,SUP-001,Aster Industrial Chemicals,direct_materials,15868.62,USD,PO-2026-010081,2026-03-26,0.3167,0.189,0.7147,0.8278,0.8745,0.5097,0.7683,0.3293,"[{""type"":""supplier_distress"",""severity"":""medium"",""description"":""Supplier financial or delivery health deteriorated.""}]",steel coil,synthetic_demo
INV-2026-00082,INV-2026-00082,SUP-003,Northstar Packaging,direct_materials,5510.06,USD,PO-2026-010082,2026-03-27,0.1001,0.0981,0.3173,0.944,0.9328,0.7416,0.7891,0.6359,"[{""type"":""commodity_spike"",""severity"":""medium"",""description"":""Relevant commodity index moved sharply above its normal band.""}]",industrial chemicals,synthetic_demo
INV-2026-00083,INV-2026-00083,SUP-008,Gridline Utilities,indirect,38945.18,USD,PO-2026-010083,2026-03-28,0.1868,0.3415,0.4122,0.6815,0.961,0.3501,0.6316,0.1861,[],safety consumables,synthetic_demo
INV-2026-00084,INV-2026-00084,SUP-010,Helix Lab Supplies,mro,4395.93,USD,PO-2026-010084,2026-03-29,0.1925,0.2511,0.3495,0.9145,0.9025,0.3941,0.8091,0.3998,[],replacement parts,synthetic_demo
INV-2026-00085,INV-2026-00085,SUP-003,Northstar Packaging,indirect,12996.29,USD,PO-2026-010085,2026-03-30,0.0676,0.3679,0.2716,0.8847,0.9293,0.486,0.8028,0.2528,[],office supplies,synthetic_demo
INV-2026-00086,INV-2026-00086,SUP-003,Northstar Packaging,direct_materials,3359.26,USD,PO-2026-010086,2026-03-31,0.1368,0.1257,0.2384,0.9486,0.8635,0.6256,0.7077,0.3704,[],aluminum billet,synthetic_demo
INV-2026-00087,INV-2026-00087,SUP-008,Gridline Utilities,indirect,13307.08,USD,PO-2026-010087,2026-04-01,0.4396,0.2407,0.2442,0.8311,0.9571,0.5018,0.8689,0.5432,[],office supplies,synthetic_demo
INV-2026-00088,INV-2026-00088,SUP-010,Helix Lab Supplies,indirect,8619.54,USD,PO-2026-010088,2026-04-02,0.2113,0.1664,0.386,0.8014,0.9365,0.4952,0.7953,0.2774,[],office supplies,synthetic_demo
INV-2026-00089,INV-2026-00089,SUP-009,Rhine-Stahl Metals,mro,66747.17,USD,PO-2026-010089,2026-04-03,0.1596,0.1096,0.6165,0.8135,0.8177,0.4619,0.6984,0.337,[],bearings,synthetic_demo
INV-2026-00090,INV-2026-00090,SUP-003,Northstar Packaging,direct_materials,4866.37,USD,PO-2026-010090,2026-04-04,0.2304,0.1315,0.2623,0.94,0.9215,0.3808,0.8259,0.3679,[],steel coil,synthetic_demo
INV-2026-00091,INV-2026-00091,SUP-005,Yangtze Raw Materials,direct_materials,35428.23,USD,PO-2026-010091,2026-04-05,0.2932,0.1209,0.7485,0.8841,0.9197,0.5038,0.8233,0.3968,"[{""type"":""supplier_distress"",""severity"":""medium"",""description"":""Supplier financial or delivery health deteriorated.""}]",industrial chemicals,synthetic_demo
INV-2026-00092,INV-2026-00092,SUP-009,Rhine-Stahl Metals,direct_materials,53586.94,USD,PO-2026-010092,2026-04-06,0.1991,0.1931,0.4397,0.941,0.9026,0.5864,0.6911,0.4035,[],steel coil,synthetic_demo
INV-2026-00093,INV-2026-00093,SUP-003,Northstar Packaging,indirect,4072.15,USD,PO-2026-010093,2026-04-07,0.1599,0.0881,0.223,0.8689,0.9041,0.2898,0.8383,0.1786,[],utilities,synthetic_demo
INV-2026-00094,INV-2026-00094,SUP-003,Northstar Packaging,direct_materials,2100.88,USD,PO-2026-010094,2026-04-08,0.4117,0.0666,0.2657,0.9523,0.8809,0.4449,0.8857,0.3783,[],steel coil,synthetic_demo
INV-2026-00095,INV-2026-00095,SUP-005,Yangtze Raw Materials,direct_materials,29679.32,USD,PO-2026-010095,2026-04-09,0.2816,0.15,0.7486,0.8597,0.9327,0.6984,0.657,0.2605,"[{""type"":""supplier_distress"",""severity"":""medium"",""description"":""Supplier financial or delivery health deteriorated.""}]",steel coil,synthetic_demo
INV-2026-00096,INV-2026-00096,SUP-010,Helix Lab Supplies,indirect,7928.96,USD,PO-2026-010096,2026-04-10,0.0652,0.1851,0.2749,0.8969,0.8234,0.3127,0.8785,0.4842,[],packaging,synthetic_demo
INV-2026-00097,INV-2026-00097,SUP-003,Northstar Packaging,indirect,3953.75,USD,PO-2026-010097,2026-04-11,0.2777,0.2187,0.2548,0.9238,0.9334,0.3738,0.7354,0.1496,[],safety consumables,synthetic_demo
INV-2026-00098,INV-2026-00098,SUP-003,Northstar Packaging,direct_materials,2833.42,USD,PO-2026-010098,2026-04-12,0.3623,0.2438,0.1825,0.8707,0.9357,0.2772,0.8615,0.3357,[],resin,synthetic_demo
INV-2026-00099,INV-2026-00099,SUP-005,Yangtze Raw Materials,direct_materials,43509.28,USD,PO-2026-010099,2026-04-13,0.2769,0.2159,0.5586,0.9191,0.8843,0.543,0.8708,0.3133,[],resin,synthetic_demo
INV-2026-00100,INV-2026-00100,SUP-010,Helix Lab Supplies,indirect,5991.82,USD,PO-2026-010100,2026-04-14,0.4037,0.187,0.4077,0.8445,0.9476,0.2041,0.8543,0.4616,[],utilities,synthetic_demo
INV-2026-00101,INV-2026-00101,SUP-001,Aster Industrial Chemicals,direct_materials,15996.66,USD,PO-2026-010101,2026-04-15,0.1043,0.1344,0.4551,0.8635,0.8885,0.3847,0.7769,0.3147,[],steel coil,synthetic_demo
INV-2026-00102,INV-2026-00102,SUP-002,Pacifica Logistics,logistics,10539.57,USD,PO-2026-010102,2026-04-16,0.3134,0.2062,0.3975,0.6702,0.8604,0.4375,0.7479,0.4343,[],truckload freight,synthetic_demo
INV-2026-00103,INV-2026-00103,SUP-008,Gridline Utilities,indirect,40728.18,USD,PO-2026-010103,2026-04-17,0.2535,0.1975,0.1778,0.8933,0.9434,0.5103,0.9012,0.5209,[],safety consumables,synthetic_demo
INV-2026-00104,INV-2026-00104,SUP-006,Meridian Office Services,services,1218.67,USD,PO-2026-010104,2026-04-18,0.1276,0.1725,0.1436,0.8689,0.9216,0.362,0.8684,0.3536,[],facilities services,synthetic_demo
INV-2026-00105,INV-2026-00105,SUP-001,Aster Industrial Chemicals,direct_materials,17920.99,USD,PO-2026-010105,2026-04-19,0.1649,0.2688,0.4494,0.8163,0.8254,0.4615,0.7955,0.3869,[],steel coil,synthetic_demo
INV-2026-00106,INV-2026-00106,SUP-006,Meridian Office Services,indirect,3578.78,USD,PO-2026-010106,2026-04-20,0.3745,0.1578,0.4208,0.8163,0.9488,0.5027,0.7706,0.2844,[],packaging,synthetic_demo
INV-2026-00107,INV-2026-00107,SUP-005,Yangtze Raw Materials,direct_materials,45055.69,USD,PO-2026-010107,2026-04-21,0.1812,0.1527,0.6198,0.9037,0.9156,0.6166,0.7699,0.365,[],steel coil,synthetic_demo
INV-2026-00108,INV-2026-00108,SUP-002,Pacifica Logistics,logistics,10775.49,USD,PO-2026-010108,2026-04-22,0.224,0.1514,0.3017,0.8846,0.8576,0.4601,0.8076,0.3217,[],ocean freight,synthetic_demo
INV-2026-00109,INV-2026-00109,SUP-004,Novatek IT Services,services,67407.06,USD,PO-2026-010109,2026-04-23,0.2954,0.167,0.2614,0.8078,0.8218,0.4054,0.7516,0.3228,[],facilities services,synthetic_demo
INV-2026-00110,INV-2026-00110,SUP-009,Rhine-Stahl Metals,mro,25827.16,USD,PO-2026-010110,2026-04-24,0.294,0.4036,0.4929,0.7826,0.9456,0.3814,0.7173,0.2731,[],bearings,synthetic_demo
